v = 0.930973  valongX = 0.920853
v = 0.982587  valongX = 0.971906
v = 0.988762  valongX = 0.978013
v = 0.989119  valongX = 0.978367
v = 0.989129  valongX = 0.978377
v = 4.091942  valongX = 4.078480
v = 4.139209  valongX = 4.125592
v = 3.545295  valongX = 3.533632
v = 1.747536  valongX = 1.741787
v = 1.831971  valongX = 1.825944
v = 0.375211  valongX = 0.373976
v = 1.548091  valongX = 1.542998
v = 0.131630  valongX = 0.131197
v = 1.638067  valongX = 1.632678
v = 0.002324  valongX = 0.002324
v = 1.865462  valongX = 1.859325
v = 0.092880  valongX = -0.092574
v = 1.820191  valongX = 1.814203
v = 0.237213  valongX = -0.236433
v = 1.926278  valongX = 1.919941
v = 0.388622  valongX = -0.387343
v = 3.967594  valongX = 3.967080
v = 3.765980  valongX = 3.765492
v = 3.410945  valongX = 3.410503
v = 2.072011  valongX = 2.071742
v = 1.530850  valongX = 1.530652
v = 1.042502  valongX = 1.042367
v = 1.088300  valongX = 1.088159
v = 0.925580  valongX = 0.925460
v = 1.071763  valongX = 1.071624
v = 0.918994  valongX = 0.918875
v = 1.075624  valongX = 1.075484
v = 0.916631  valongX = 0.916513
v = 1.078005  valongX = 1.077865
v = 0.915192  valongX = 0.915073
v = 1.079406  valongX = 1.079266
v = 0.914267  valongX = 0.914149
v = 2.198799  valongX = 2.198709
v = 2.046291  valongX = 2.046207
v = 1.970342  valongX = 1.970261
v = 1.426634  valongX = 1.426575
v = 1.193125  valongX = 1.193076
v = 1.047501  valongX = 1.047458
v = 1.005189  valongX = 1.005148
v = 1.006177  valongX = 1.006135
v = 0.994821  valongX = 0.994780
v = 1.005337  valongX = 1.005296
v = 0.994403  valongX = 0.994362
v = 1.005472  valongX = 1.005431
v = 0.994243  valongX = 0.994202
v = 1.005552  valongX = 1.005511
v = 0.994156  valongX = 0.994115
v = 1.005598  valongX = 1.005556
v = 1.274551  valongX = 1.274455
v = 1.230490  valongX = 1.230397
v = 1.222837  valongX = 1.222744
v = 1.090589  valongX = 1.090506
v = 1.047785  valongX = 1.047705
v = 1.005373  valongX = 1.005297
v = 1.006251  valongX = 1.006175
v = 0.995799  valongX = 0.995723
v = 1.004487  valongX = 1.004411
v = 0.995356  valongX = 0.995280
v = 1.004715  valongX = 1.004639
v = 0.995229  valongX = 0.995154
v = 1.004858  valongX = 1.004782
v = 0.995156  valongX = 0.995080
v = 1.004938  valongX = 1.004862
v = 0.995112  valongX = 0.995036
v = 1.031546  valongX = 1.031492
v = 1.022543  valongX = 1.022489
v = 1.026030  valongX = 1.025976
v = 1.006503  valongX = 1.006450
v = 1.007925  valongX = 1.007872
v = 0.996958  valongX = 0.996906
v = 1.004158  valongX = 1.004105
v = 0.995685  valongX = 0.995633
v = 1.004366  valongX = 1.004313
v = 0.995462  valongX = 0.995410
v = 1.004609  valongX = 1.004557
v = 0.995343  valongX = 0.995290
v = 1.004745  valongX = 1.004692
v = 0.995274  valongX = 0.995222
v = 1.004820  valongX = 1.004767
v = 0.995234  valongX = 0.995182
v = 0.989283  valongX = 0.989252
v = 0.987687  valongX = 0.987657
v = 0.991619  valongX = 0.991589
v = 0.993368  valongX = 0.993338
v = 0.999960  valongX = 0.999929
v = 0.997006  valongX = 0.996975
v = 1.002338  valongX = 1.002307
v = 0.997264  valongX = 0.997233
v = 1.002714  valongX = 1.002683
v = 0.997153  valongX = 0.997122
v = 1.002867  valongX = 1.002837
v = 0.997080  valongX = 0.997049
v = 1.002950  valongX = 1.002919
v = 0.997039  valongX = 0.997008
v = 1.002994  valongX = 1.002963
v = 0.997016  valongX = 0.996985
v = 0.985211  valongX = 0.985194
v = 0.985289  valongX = 0.985272
v = 0.988193  valongX = 0.988176
v = 0.993093  valongX = 0.993076
v = 0.998558  valongX = 0.998541
v = 0.997962  valongX = 0.997944
v = 1.001266  valongX = 1.001249
v = 0.998415  valongX = 0.998398
v = 1.001552  valongX = 1.001535
